Disease,OrphaCode,Query,Count
"Multiple epiphyseal dysplasia, Al-Gazali type",166024,,0
Alexander disease,58,alexander+disease%5Bti%5D+OR+alexander%27s+disease%5Bti%5D+OR+%22alexander+disease%22%5BMeSH+Terms%5D,430
"Multiple epiphyseal dysplasia, with miniepiphyses",166032,,0
Alpha-mannosidosis,61,alpha+mannosidosis%5Bmh%5D+OR+alpha+mannosidosis%5Bti%5D,278
"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",166029,,0
"Metaphyseal chondrodysplasia, Kaitila type",166038,,0
Aspartylglucosaminuria,93,Aspartylglucosaminuria%5Bti%5D+OR+%28Lysosomal+Storage+Diseases%5Bmh%5D+AND+Aspartylglucosylaminase%5Bmajr%5D%29,134
Brachydactyly-short stature-retinitis pigmentosa syndrome,166035,,0
Multiple sulfatase deficiency,585,multiple+sulfatase+deficiency%5Bti%5D+OR+SUMF1%5Bti%5D+OR+mucosulfatidosis%5Bti%5D+OR+sphingolipidoses%5Bti%5D+OR+sphingolipidoses%5Bmh%3Anoexp%5D,484
Beta-mannosidosis,118,beta+mannosidos*%5Bti%5D+OR+beta+mannosidosis%5Bmh%5D+OR+%28Beta+mannosidase%5Btw%5D+AND+deficiency%5Btw%5D%29,112
Pontocerebellar hypoplasia type 5,166068,,0
Canavan disease,141,canavan+disease%5Bmh%5D+OR+Canavan+disease%5BTi%5D,326
Pontocerebellar hypoplasia type 4,166063,,0
Von Willebrand disease type 1,166078,,0
Pontocerebellar hypoplasia type 6,166073,,0
Cystinosis,213,cystinosis%5Bmajr%5D,1060
Von Willebrand disease type 2A,166084,,0
Farber disease,333,Farber%5Btw%5D+%28lipogranulomatos*%5Btw%5D+OR+lysosomal+storage+dis*%5Ball%5D+OR+lipid+metabolism%2C+inborn+errors%5Bmh%5D%29,136
Von Willebrand disease type 2,166081,,0
Fucosidosis,349,Fucosidosis%5Bmh%5D+OR+Fucosidosis%5Bti%5D,268
Von Willebrand disease type 2M,166090,,0
Glycogen storage disease due to acid maltase deficiency,365,glycogen+storage+disease+type+ii%5Bmh%5D+OR+Glycogen+Storage+Disease+Type+II%5Btw%5D+OR+Glycogen+Storage+Disease+Type+IIa%5Btw%5D,1803
Von Willebrand disease type 2B,166087,,0
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,%22glycogen+storage+disease+type+iii%22%5BMeSH+Terms%5D+OR+Glycogen+Storage+Disease+Type+III%5BText+Word%5D,398
Von Willebrand disease type 2N,166093,,0
Glycogen storage disease due to muscle glycogen phosphorylase deficiency,368,glycogen+storage+disease+type+v%5Bmajr%5D,547
Von Willebrand disease type 3,166096,,0
Glycogen storage disease due to glycogen branching enzyme deficiency,367,glycogen+storage+disease+type+iv%5Bmajr%5D,157
Autosomal dominant otospondylomegaepiphyseal dysplasia,166100,,0
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,glycogen+storage+disease+type+vii%5Bmajr%5D,78
FASTKD2-related infantile mitochondrial encephalomyopathy,166105,,0
Glycogen storage disease due to liver glycogen phosphorylase deficiency,369,"glycogen+storage+disease+type+vi+OR+(glycogen+storage+disease+(vi%5BTw%5D+OR+vib%5Btw%5D+OR+(Glycogen+Phosphorylase,+Liver+Form)+deficiency))",123
Paroxysmal nocturnal hemoglobinuria,447,hemoglobinuria%2C+paroxysmal%5Bmh%5D+OR+Paroxysmal+nocturnal+hemoglobinuria%5BTi%5D+OR+paroxysmal+hemoglobinuria%5Bti%5D,3751
"Intellectual disability, Birk-Barel type",166108,,0
Bazex syndrome,166113,,0
Isolated osteopoikilosis,166119,,0
Krabbe disease,487,%22globoid+cell+leukodystrophy%22%5BText+Word%5D+OR+Krabbe+disease%5BText+Word%5D+OR+%22leukodystrophy%2C+globoid+cell%22%5BMeSH+Terms%5D,1298
Dentinogenesis imperfecta type 2,166260,,0
Dentinogenesis imperfecta type 3,166265,,0
Mucopolysaccharidosis type 6,583,mucopolysaccharidosis+vi%5Bmajr%5D,383
Odontochondrodysplasia,166272,,0
Mucolipidosis type II,576,(mucolipidosis+ii%5Btw%5D+OR+MLii%5Btw%5D+OR+i-cell%5Btw%5D+OR+type+2%5Bti%5D)+(mucolipidoses%5Bmh%5D+OR+mucolipidosis%5Bti%5D),423
Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,166277,,0
Sialidosis type 1,812,sialidosis%5Btw%5D+(type+1%5Btw%5D+OR+type+i%5Btw%5D+OR+sialidosis+i%5Btw%5D),103
Familial sick sinus syndrome,166282,,0
Mucolipidosis type IV,578,(mucolipidoses%5Bmh%5D+OR+mucolipidosis%5Bti%5D)+(MLIV%5Btw%5D+OR+type+4%5Btw%5D+OR+4%5Bti%5D)+OR+%22mucolipidosis+iv%22,169
Porokeratotic eccrine ostial and dermal duct nevus,166286,,0
Mucolipidosis type III,577,(mucolipidosis%5Bti%5D+OR+mucolipidosis%5Bmajr%5D)+(%22mucolipidosis+iii%22+OR+%22MLiii%22+OR+type+iii%5Bti%5D+OR+type+3%5Bti%5D),139
Dirofilariasis,166291,,0
Benign infantile focal epilepsy with midline spikes and waves during sleep,166308,,0
Benign infantile seizures associated with mild gastroenteritis,166305,,0
Poliomyelitis,2912,Poliomyelitis%5Bmajr%5D+OR+Poliomyelitis%5Bti%5D,18980
Benign partial epilepsy with secondarily generalized seizures in infancy,166302,,0
Benign partial epilepsy of infancy with complex partial seizures,166299,,0
Sandhoff disease,796,%22sandhoff+disease%22%5BMH%5D+OR+Sandhoff%5BTi%5D,488
Photosensitive epilepsy,166409,,0
Recessive X-linked ichthyosis,461,%22x-linked+ichthyosis%22%5BText+Word%5D+OR+%22ichthyosis%2C+x-linked%22%5BMeSH+Terms%5D,481
Orgasm-induced seizures,166421,,0
Eating reflex epilepsy,166418,,0
Audiogenic seizures,166415,,0
Mucopolysaccharidosis type 7,584,mucopolysaccharidosis+vii%5Bmajr%5D,240
Hot water reflex epilepsy,166412,,0
Reading seizures,166433,,0
Micturation-induced seizures,166430,,0
Turner syndrome,881,%22turner+syndrome%22%5BMeSH+Terms%5D+OR+%28Turner+Syndrome%5BTi%5D+NOT+medline%5Bsb%5D%29,7874
Startle epilepsy,166427,,0
Thinking seizures,166424,,0
Friedreich ataxia,95,%22friedreich+ataxia%22%5BMeSH+Terms%5D+OR+Friedreich+ataxia%5BText+Word%5D,2963
Beta-thalassemia,848,beta+thalass*%5Bti%5D+OR+beta-thalassemia%5Bmh%5D,11626
Alpha-thalassemia,846,alpha-thalassemia%5Bmajr%5D,3236
Cystic fibrosis,586,%22cystic+fibrosis%22%5BMeSH+Terms%5D+OR+%28%28Cystic+fibrosis%5BText+Word%5D+OR+mucoviscidosis%5BTW%5D%29+NOT+medline%5BSB%5D%29,40777
Emery-Dreifuss muscular dystrophy,261,emery+dreifuss%5Bti%5D+OR+muscular+dystrophy%2C+emery-dreifuss,823
MELAS,550,%22melas+syndrome%22%5BMeSH+Terms%5D+OR+%28MELAS%5BText+Word%5D+NOT+medline%5Bsb%5D%29,1613
Facioscapulohumeral dystrophy,269,%22muscular+dystrophy%2C+facioscapulohumeral%22%5BMeSH+Terms%5D+OR+Facioscapulohumeral+muscular+dystrophy%5BText+Word%5D,1310
Kearns-Sayre syndrome,480,kearns+sayer+syndrome+OR+Kearns+Sayre+syndrome%5Btw%5D,955
Classic paraneoplastic limbic encephalitis,163898,,0
Limbic encephalitis with LGI1 antibodies,163908,,0
MERRF,551,%22merrf+syndrome%22%5BMH%5D+OR+%28MERRF+syndrome%5BTW%5D+NOT+medline%5Bsb%5D%29,386
Central core disease,597,%22central+core+myopathy%22%5Bti%5D+OR+%22myopathy%2C+central+core%22%5BMeSH+Terms%5D+OR+Central+core+disease%5BTi%5D,289
Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,163746,,0
Paramyotonia congenita of Von Eulenburg,684,%28%22myotonic+disorders%22%5BMH%5D+OR+Paramyotonia+congenita%5BTW%5D%29+AND+eulenburg%5Btw%5D,18
Acrodermatitis continua of Hallopeau,163931,,0
Steinert myotonic dystrophy,273,%22myotonic+dystrophy%22%5BMeSH+Terms%5D+OR+myotonic+dystrophy%5BTi%5D+OR+myotonic+dystrophies%5Bti%5D+OR+steinert+syndrome%5BTi%5D,5841
Pustulosis palmaris et plantaris,163927,,0
"X-linked intellectual disability, Najm type",163937,,0
Atopic keratoconjunctivitis,163934,,0
Non-herpetic acute limbic encephalitis,163924,,0
Thomsen and Becker disease,614,myotonia+congenita%5Bmh%5D+OR+Thomsen+Dis*%5Bti%5D+OR+Thomsen%27s+Dis*%5Bti%5D+OR+myotonia+congenita%5Bti%5D,999
Posttransplant acute limbic encephalitis,163921,,0
"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",163966,,0
"X-linked intellectual disability, Cilliers type",163971,,0
"X-linked intellectual disability, Van Esch type",163976,,0
X-linked intellectual disability-craniofacioskeletal syndrome,163979,,0
"X-linked intellectual disability, Raymond type",163953,,0
"X-linked intellectual disability, Nascimento type",163956,,0
X-linked cerebral-cerebellar-coloboma syndrome,163961,,0
Acute myeloid leukemia and myelodysplastic syndromes related to radiation,164726,,0
Fabry disease,324,%22fabry+disease%22%5BMeSH+Terms%5D+OR+Fabry+disease%5BTi%5D,4112
X-linked intellectual disability-spastic quadriparesis syndrome,163982,,0
Hyperekplexia-epilepsy syndrome,163985,,0
